sp,id,file_name,depth,habitat,size,ref,depth_max
Lamna nasus,88,Lanas_u1.gif,0-366,pelagic,370,NA,NA
Cetorhinus maximus,90,Cemax_u1.gif,0-100,pelagic,1520,NA,100
Somniosus microcephalus,138,Somic_u0.gif,0-1200,benthic,640,NA,NA
Squalus acanthias,139,Sqaca_u0.gif,0-900,benthic,160,NA,NA
Chlamydoselachus anguineus,635,Chang_u0.gif,120-1280,benthic,196,NA,1280
Heptranchias perlo,636,Heper_u0.gif,27-1000,benthic,137,NA,NA
Hexanchus griseus,637,Hegri_u0.gif,0-1875,benthic,482,NA,NA
Echinorhinus brucus,641,Ecbru_u0.gif,350-900,benthic,310,NA,900
Echinorhinus cookei,642,Eccoo_u0.gif,11-424,benthic,400,NA,424
Aculeola nigra,644,Acnig_u0.gif,110-560,benthic,60,NA,560
Centrophorus granulosus,648,Cegra_u0.gif,200-1200,benthic,150,NA,1200
Centrophorus harrissoni,649,Cehar_u0.gif,250-384,benthic,80,NA,384
Centrophorus squamosus,653,Cesqu_u0.gif,229-2359,benthic,158,NA,2359
Centroscyllium fabricii,656,Cefab_u0.gif,180-1600,pelagic,107,NA,1600
Centroscyllium granulatum,657,Cegra_u1.gif,-450,pelagic,28,NA,450
Centroscyllium nigrum,660,Cenig_u0.gif,400-1143,pelagic,50,NA,1143
Centroscyllium ritteri,661,Cerit_u0.gif,NA,pelagic,43,NA,NA
Centroscymnus coelolepis,662,Cecoe_u0.gif,270-365,benthic,114,NA,365
Centroselachus crepidater,663,Cecre_u0.gif,270-1070,benthic,90,NA,1070
Centroscymnus owstonii,666,Ceows_u0.gif,100-1500,benthic,148,NA,1500
Cirrhigaleus barbifer,668,Cibar_u0.gif,360-494,benthic,122,NA,494
Dalatias licha,669,Dalic_u0.gif,200-1800,benthic,159,NA,1800
Deania hystricosa,671,Dehys_u0.gif,600-1200,benthic,109,NA,1200
Deania profundorum,672,Depro_u0.gif,275-1785,benthic,76,NA,1785
Deania quadrispinosa,673,Dequa_u0.gif,150-732,benthic,110,NA,732
Etmopterus brachyurus,675,Etbra_u0.gif,-450,pelagic,23,NA,450
Etmopterus granulosus,679,Etgra_u1.gif,220-637,pelagic,38,NA,637
Etmopterus polli,682,Etpol_u0.gif,300-1000,pelagic,24,NA,1000
Etmopterus princeps,683,Etpri_u0.gif,567-2213,pelagic,75,NA,2213
Etmopterus schultzi,685,Etsch_u0.gif,384-782,pelagic,30,NA,782
Etmopterus spinax,687,Etspi_u0.gif,70-2000,pelagic,60,NA,2000
Etmopterus unicolor,688,Etuni_u0.gif,-900,pelagic,64,fb,900
Euprotomicrus bispinatus,693,Eubis_u0.gif,100-1500,pelagic,27,NA,1500
Isistius brasiliensis,696,Isbra_u0.gif,85-3500,pelagic,50,NA,NA
Scymnodon ringens,700,Scrin_u0.gif,200-1600,benthic,110,NA,NA
Zameus squamulosus,701,Scobs_u0.gif,0-2200,benthic,84,fb,NA
Somniosus rostratus,704,Soros_u0.gif,200-1000,benthic,140,NA,NA
Squaliolus laticaudus,705,Sqlat_u0.gif,200-500,pelagic,25,NA,NA
Cirrhigaleus asper,707,Sqasp_u0.gif,214-600,benthic,118,NA,600
Squalus japonicus,710,Sqjap_u0.gif,150-300,benthic,91,NA,NA
Squalus megalops,711,Sqmeg_u0.gif,50-732,benthic,71,NA,NA
Squalus mitsukurii,713,Sqmit_u0.gif,165-518,benthic,110,NA,NA
Oxynotus bruniensis,715,Oxbru_u0.gif,46-500,benthic,72,NA,NA
Oxynotus centrina,718,Oxcen_u0.gif,60-660,benthic,150,NA,NA
Oxynotus paradoxus,719,Oxpar_u0.gif,265-720,benthic,118,NA,NA
Pliotrema warreni,720,Plwar_u0.gif,0-430,benthic,136,NA,NA
Pristiophorus japonicus,722,Prjap_u0.gif,0-250,benthic,136,NA,NA
Heterodontus francisci,739,Hefra_u0.gif,0-150,benthic,122,NA,NA
Heterodontus galeatus,740,Hegal_u0.gif,0-93,benthic,152,NA,NA
Heterodontus mexicanus,742,Hemex_u0.gif,0-20,benthic,70,NA,NA
Heterodontus portusjacksoni,743,Hepor_u0.gif,0-172,benthic,165,NA,NA
Heterodontus zebra,746,Hezeb_u0.gif,0-50,benthic,122,NA,NA
Carcharias taurus,747,Catau_u1.gif,0-191,benthic,318,NA,191
Odontaspis noronhai,750,Odnor_u0.gif,60-1000,pelagic,367,NA,NA
Carcharodon carcharias,751,Cacar_u1.gif,0-1280,pelagic,640,NA,1280
Isurus oxyrinchus,752,Isoxy_u0.gif,0-152,pelagic,394,NA,NA
Isurus paucus,753,Ispau_u0.gif,0-200,pelagic,425,NA,NA
Lamna ditropis,755,Ladit_u0.gif,0-152,pelagic,305,NA,NA
Eucrossorhinus dasypogon,756,Eudas_u0.gif,0-50,benthic,120,NA,50
Orectolobus maculatus,758,Ormac_u0.gif,0-110,benthic,320,NA,NA
Orectolobus ornatus,759,Ororn_u0.gif,NA,NA,NA,NA,NA
Sutorectus tentaculatus,761,Suten_u0.gif,0-50,benthic,92,NA,NA
Apristurus brunneus,763,Apbru_u1.gif,0-950,benthic,68,NA,950
Apristurus laurussonii,770,Aplau_u0.gif,560 -1462,benthic,68,NA,1462
Apristurus macrorhynchus,772,Apmac_u0.gif,NA,benthic,66,NA,NA
Apristurus manis,774,Apman_u0.gif,658-1740,benthic,76,NA,1740
Apristurus platyrhynchus,778,Appla_u1.gif,0-759,benthic,80,fb,759
Apristurus profundorum,779,Appro_u0.gif,1300-1600,benthic,54,fb,1600
Apristurus sinensis,783,Apsin_u0.gif,-537,benthic,50,NA,537
Aulohalaelurus labiosus,795,Aulab_u0.gif,0-4,benthic,67,NA,4
Cephaloscyllium laticeps,798,Celat_u0.gif,220,benthic,97,NA,NA
Cephaloscyllium silasi,800,Cesil_u0.gif,250-500,benthic,35,NA,500
Cephaloscyllium ventriosum,802,Ceven_u0.gif,5-457,benthic,110,NA,457
Figaro boardmani,805,Gaboa_u0.gif,128-823,benthic,61,NA,823
Galeus eastmani,806,Gaeas_u0.gif,100-900,benthic,50,NA,900
Galeus melastomus,807,Gamel_u1.gif,55-100,benthic,90,NA,100
Galeus murinus,808,Gamur_u0.gif,475-1200,benthic,63,NA,1200
Galeus polli,811,Gapol_u0.gif,200-720,benthic,42,NA,720
Galeus sauteri,812,Gasau_u0.gif,60-90,benthic,45,NA,90
Bythaelurus canescens,817,Hacan_u0.gif,250-700,benthic,70,fb,700
Bythaelurus dawsoni,818,Hadaw_u0.gif,50-1200,benthic,45,fb,1200
Haploblepharus edwardsii,825,Haedw_u0.gif,0-130,benthic,60,NA,NA
Holohalaelurus regani,829,Horeg_u0.gif,-1075,benthic,69,NA,NA
Parmaturus xaniurus,833,Paxan_u1.gif,91-1251,benthic,55,NA,NA
Poroderma africanum,835,Poafr_u0.gif,0-100,benthic,101,NA,NA
Poroderma pantherinum,837,Popan_u0.gif,0-256,benthic,84,NA,NA
Schroederichthys bivius,838,Scbiv_u0.gif,14-78,benthic,70,NA,NA
Scyliorhinus canicula,845,Sccan_u0.gif,0-400,benthic,100,NA,NA
Scyliorhinus capensis,846,Sccap_u0.gif,26-420,benthic,122,NA,NA
Scyliorhinus retifer,853,Scret_u1.gif,73-550,benthic,47,NA,NA
Scyliorhinus stellaris,854,Scste_u0.gif,0-125,benthic,163,NA,NA
Scyliorhinus torazame,855,Sctor_u0.gif,0-100,benthic,48,NA,NA
Carcharhinus albimarginatus,858,Caalb_u1.gif,0-800,pelagic,300,NA,800
Carcharhinus amblyrhynchos,861,Caamb_u2.gif,0-280,pelagic,255,NA,280
Carcharhinus brachyurus,864,Cabra_u0.gif,0-360,pelagic,325,NA,360
Carcharhinus falciformis,868,Cafal_u1.gif,0-500,pelagic,330,NA,500
Carcharhinus leucas,873,Caleu_u1.gif,0-150,benthic,340,NA,150
Carcharhinus limbatus,874,Calim_u1.gif,0-30,pelagic,255,NA,30
Carcharhinus melanopterus,877,Camel_u1.gif,0-30,pelagic,200,NA,30
Carcharhinus plumbeus,880,Caplu_u0.gif,0-280,pelagic,249,NA,280
Carcharhinus sorrah,884,Casor_u0.gif,0-36,benthic,177,NA,36
Galeocerdo cuvier,886,Gacuv_u1.gif,0-130,pelagic,910,NA,130
Glyphis gangeticus,887,Glgan_u0.gif,0-15,benthic,204,NA,15
Glyphis glyphis,888,Glgly_u0.gif,0-15,benthic,100,NA,15
Lamiopsis temminckii,892,Latem_u0.gif,0-50,pelagic,168,NA,NA
Loxodon macrorhinus,894,Lomac_u0.gif,7-80,pelagic,91,NA,NA
Nasolamia velox,895,Navel_u0.gif,0-25,benthic,150,NA,NA
Negaprion acutidens,896,Neacu_u0.gif,0-30,benthic,310,NA,NA
Negaprion brevirostris,897,Nebre_u1.gif,0-92,benthic,340,NA,NA
Prionace glauca,898,Prgla_u2.gif,0-152,pelagic,383,NA,NA
Rhizoprionodon acutus,899,Rhacu_u1.gif,0-200,benthic,178,NA,NA
Rhizoprionodon lalandii,900,Rhlal_u0.gif,3-70,benthic,77,NA,NA
Rhizoprionodon longurio,901,Rhlon_u0.gif,0-30,benthic,110,NA,NA
Rhizoprionodon oligolinx,902,Rholi_u0.gif,0-200,benthic,70,NA,NA
Rhizoprionodon porosus,903,Rhpor_u0.gif,0-500,benthic,110,NA,NA
Rhizoprionodon taylori,904,Rhtay_u0.gif,0-50,benthic,67,NA,NA
Rhizoprionodon terraenovae,905,Rhter_u0.gif,10-280,benthic,110,NA,NA
Scoliodon laticaudus,906,Sclat_u0.gif,0-100,benthic,74,NA,NA
Triaenodon obesus,907,Trobe_u1.gif,0-330,benthic,213,NA,NA
Eusphyra blochii,908,Eublo_u0.gif,0-50,benthic,186,NA,50
Sphyrna corona,909,Spcor_u0.gif,0-100,benthic,92,NA,NA
Sphyrna lewini,912,Splew_u1.gif,0-275,pelagic,313,NA,NA
Sphyrna media,913,Spmed_u0.gif,NA,benthic,150,NA,NA
Sphyrna mokarran,914,Spmok_u1.gif,0-80,pelagic,550,NA,NA
Sphyrna tiburo,915,Sptib_u0.gif,0-80,benthic,150,NA,NA
Sphyrna zygaena,917,Spzyg_u1.gif,0-20,pelagic,400,NA,NA
Rhincodon typus,2081,Rhtyp_u1.gif,0-50,pelagic,1800,NA,NA
Notorynchus cepedianus,2531,Nocep_u0.gif,0-40,benthic,290,NA,NA
Ginglymostoma cirratum,2532,Gicir_u1.gif,0-15,benthic,430,NA,15
Alopias superciliosus,2534,Alsup_u0.gif,0-500,pelagic,461,NA,500
Alopias vulpinus,2535,Alvul_u0.gif,0-366,pelagic,549,NA,366
Pseudotriakis microdon,2536,Psmic_u0.gif,200-1500,benthic,295,NA,NA
Mustelus californicus,2538,Mucal_u0.gif,0-50,benthic,120,NA,NA
Mustelus canis,2539,Mucan_u0.gif,0-580,benthic,150,NA,NA
Mustelus henlei,2540,Muhen_u0.gif,0-200,benthic,95,NA,NA
Triakis semifasciata,2543,Trsem_u0.gif,0-91,benthic,180,NA,NA
Somniosus pacificus,2544,Sopac_u0.gif,0-2000,benthic,430,NA,NA
Chiloscyllium griseum,4304,Chgri_u1.gif,0-50,benthic,74,NA,50
Atelomycterus marmoratus,4305,Atmar_u0.gif,0-100,benthic,70,NA,100
Mustelus mustelus,4996,Mumus_u0.gif,0-350,benthic,164,NA,NA
Paragaleus pectoralis,4998,Papec_u0.gif,0-100,benthic,138,NA,NA
Chiloscyllium plagiosum,5120,Chpla_u0.gif,0-50,benthic,95,NA,50
Alopias pelagicus,5891,Alpel_u0.gif,0-152,pelagic,330,NA,152
Brachaelurus waddi,5892,Brwad_u0.gif,0-110,benthic,122,NA,110
Brachaelurus colcloughi,5893,Hecol_u0.gif,0-100,benthic,60,NA,100
Pseudoginglymostoma brevicaudatum,5894,Gibre_u0.gif,0-50,benthic,75,NA,NA
Nebrius ferrugineus,5895,Nefer_u0.gif,0-70,benthic,320,NA,NA
Chaenogaleus macrostoma,5896,Chmac_u5.gif,0-60,benthic,100,NA,60
Hemigaleus microstoma,5897,Hemic_u0.gif,12-167,benthic,91,NA,NA
Hemipristis elongata,5898,Heelo_u2.gif,1-30,benthic,240,NA,NA
Chiloscyllium indicum,5900,Chind_u0.gif,0-50,benthic,65,NA,50
