 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,39.500,185.500,39.500,185.500,0,0.000,1,0.000,0.000,NaN
2,0,216,216,260.000,141.500,260.000,141.500,0,0.000,1,0.000,0.000,NaN
3,0,184,184,292.000,136.500,292.000,136.500,0,0.000,1,0.000,0.000,NaN
4,0,200,200,293.500,160.000,293.500,160.000,0,0.000,1,0.000,0.000,NaN
5,0,232,232,464.000,172.500,464.000,172.500,0,0.000,1,0.000,0.000,NaN
6,0,8,8,596.000,162.500,596.000,162.500,0,0.000,1,0.000,0.000,NaN
7,0,248,248,522.000,222.000,522.000,222.000,0,0.000,1,0.000,0.000,NaN
8,0,8,8,454.500,194.500,454.500,194.500,0,0.000,1,0.000,0.000,NaN
9,0,216,216,380.000,198.500,380.000,198.500,0,0.000,1,0.000,0.000,NaN
10,0,136,136,341.000,214.500,341.000,214.500,0,0.000,1,0.000,0.000,NaN
11,0,200,200,209.000,202.500,209.000,202.500,0,0.000,1,0.000,0.000,NaN
12,0,216,216,180.000,194.500,180.000,194.500,0,0.000,1,0.000,0.000,NaN
13,0,8,8,100.500,202.500,100.500,202.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,74.500,209.000,74.500,209.000,0,0.000,1,0.000,0.000,NaN
