 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,38.000,166.000,38.000,166.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,162.500,141.500,162.500,141.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,186.500,101.500,186.500,101.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,192.500,138.500,192.500,138.500,0,0.000,1,0.000,0.000,NaN
5,0,10,10,295.500,152.500,295.500,152.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,606.500,94.500,606.500,94.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,321.500,206.500,321.500,206.500,0,0.000,1,0.000,0.000,NaN
8,0,10,10,300.500,181.500,300.500,181.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,249.500,183.500,249.500,183.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,228.500,187.500,228.500,187.500,0,0.000,1,0.000,0.000,NaN
11,0,10,10,135.500,185.500,135.500,185.500,0,0.000,1,0.000,0.000,NaN
12,0,2,2,103.500,188.500,103.500,188.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,69.000,179.833,69.000,179.833,0,0.000,1,0.000,0.000,NaN
14,0,8,8,59.500,180.333,59.500,180.333,0,0.000,1,0.000,0.000,NaN
