 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,38.500,173.500,38.500,173.500,0,0.000,1,0.000,0.000,NaN
2,0,12,12,221.500,135.000,221.500,135.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,257.000,89.500,257.000,89.500,0,0.000,1,0.000,0.000,NaN
4,0,12,12,261.500,136.000,261.500,136.000,0,0.000,1,0.000,0.000,NaN
5,0,2,2,364.000,152.000,364.000,152.000,0,0.000,1,0.000,0.000,NaN
6,0,0,0,604.500,71.500,604.500,71.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,389.500,205.500,389.500,205.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,363.000,177.500,363.000,177.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,310.000,184.000,310.000,184.000,0,0.000,1,0.000,0.000,NaN
10,0,12,12,282.500,197.000,282.500,197.000,0,0.000,1,0.000,0.000,NaN
11,0,8,8,168.500,194.000,168.500,194.000,0,0.000,1,0.000,0.000,NaN
12,0,12,12,138.500,196.500,138.500,196.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,82.500,190.500,82.500,190.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,67.500,189.000,67.500,189.000,0,0.000,1,0.000,0.000,NaN
