 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,36.500,223.500,36.500,223.500,0,0.000,1,0.000,0.000,NaN
2,0,10,10,155.500,189.000,155.500,189.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,185.500,146.000,185.500,146.000,0,0.000,1,0.000,0.000,NaN
4,0,2,2,188.000,192.000,188.000,192.000,0,0.000,1,0.000,0.000,NaN
5,0,6,6,316.000,206.000,316.000,206.000,0,0.000,1,0.000,0.000,NaN
6,0,9,9,609.000,153.000,609.000,153.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,332.000,264.000,332.000,264.000,0,0.000,1,0.000,0.000,NaN
8,0,13,13,313.000,230.500,313.000,230.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,247.000,236.000,247.000,236.000,0,0.000,1,0.000,0.000,NaN
10,0,1,1,217.000,247.500,217.000,247.500,0,0.000,1,0.000,0.000,NaN
11,0,8,8,152.000,251.500,152.000,251.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,106.000,245.000,106.000,245.000,0,0.000,1,0.000,0.000,NaN
13,0,15,15,67.500,238.000,67.500,238.000,0,0.000,1,0.000,0.000,NaN
14,0,5,5,52.500,237.000,52.500,237.000,0,0.000,1,0.000,0.000,NaN
