 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,19.500,98.000,19.500,98.000,0,0.000,1,0.000,0.000,NaN
2,0,8,8,315.500,75.000,315.500,75.000,0,0.000,1,0.000,0.000,NaN
3,0,12,12,363.500,53.000,363.500,53.000,0,0.000,1,0.000,0.000,NaN
4,0,10,10,362.000,78.500,362.000,78.500,0,0.000,1,0.000,0.000,NaN
5,0,9,9,442.000,82.000,442.000,82.000,0,0.000,1,0.000,0.000,NaN
6,0,9,9,613.000,78.000,613.000,78.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,497.000,128.500,497.000,128.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,328.000,125.500,328.000,125.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,436.500,103.500,436.500,103.500,0,0.000,1,0.000,0.000,NaN
10,0,6,6,272.000,134.000,272.000,134.000,0,0.000,1,0.000,0.000,NaN
11,0,11,11,187.000,138.500,187.000,138.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,135.000,132.500,135.000,132.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,82.000,115.000,82.000,115.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,75.500,117.500,75.500,117.500,0,0.000,1,0.000,0.000,NaN
