 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,39.000,228.000,39.000,228.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,297.500,196.500,297.500,196.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,354.500,176.500,354.500,176.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,335.500,199.500,335.500,199.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,442.500,212.500,442.500,212.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,216.500,596.500,216.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,480.500,265.500,480.500,265.500,0,0.000,1,0.000,0.000,NaN
8,0,0,0,427.500,240.500,427.500,240.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,309.500,246.500,309.500,246.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,274.500,250.500,274.500,250.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,211.500,246.500,211.500,246.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,169.500,246.500,169.500,246.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,115.500,239.833,115.500,239.833,0,0.000,1,0.000,0.000,NaN
14,0,15,15,104.500,243.500,104.500,243.500,0,0.000,1,0.000,0.000,NaN
