 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,46.167,169.167,46.167,169.167,0,0.000,1,0.000,0.000,NaN
2,0,15,15,307.167,143.833,307.167,143.833,0,0.000,1,0.000,0.000,NaN
3,0,10,10,351.833,132.167,351.833,132.167,0,0.000,1,0.000,0.000,NaN
4,0,14,14,338.500,146.500,338.500,146.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,454.167,155.833,454.167,155.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,604.167,150.833,604.167,150.833,0,0.000,1,0.000,0.000,NaN
7,0,13,13,476.833,201.167,476.833,201.167,0,0.000,1,0.000,0.000,NaN
8,0,13,13,435.833,181.833,435.833,181.833,0,0.000,1,0.000,0.000,NaN
9,0,13,13,313.500,190.833,313.500,190.833,0,0.000,1,0.000,0.000,NaN
10,0,15,15,257.167,195.167,257.167,195.167,0,0.000,1,0.000,0.000,NaN
11,0,2,2,210.167,187.167,210.167,187.167,0,0.000,1,0.000,0.000,NaN
12,0,13,13,163.833,180.500,163.833,180.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,116.833,173.500,116.833,173.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,104.500,178.833,104.500,178.833,0,0.000,1,0.000,0.000,NaN
