 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,47.000,158.000,47.000,158.000,0,0.000,1,0.000,0.000,NaN
2,0,3,3,311.500,123.500,311.500,123.500,0,0.000,1,0.000,0.000,NaN
3,0,9,9,353.500,113.500,353.500,113.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,342.500,130.500,342.500,130.500,0,0.000,1,0.000,0.000,NaN
5,0,7,7,440.500,144.500,440.500,144.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,602.500,136.500,602.500,136.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,484.500,179.500,484.500,179.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,424.500,161.500,424.500,161.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,325.500,169.500,325.500,169.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,285.500,187.500,285.500,187.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,220.500,182.500,220.500,182.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,178.500,176.500,178.500,176.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,122.500,167.500,122.500,167.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,106.500,175.500,106.500,175.500,0,0.000,1,0.000,0.000,NaN
