 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,22.500,89.000,22.500,89.000,0,0.000,1,0.000,0.000,NaN
2,0,89,89,317.500,70.000,317.500,70.000,0,0.000,1,0.000,0.000,NaN
3,0,1,1,374.000,57.000,374.000,57.000,0,0.000,1,0.000,0.000,NaN
4,0,124,124,353.000,71.000,353.000,71.000,0,0.000,1,0.000,0.000,NaN
5,0,92,92,455.500,76.500,455.500,76.500,0,0.000,1,0.000,0.000,NaN
6,0,34,34,606.500,57.500,606.500,57.500,0,0.000,1,0.000,0.000,NaN
7,0,1,1,520.500,118.000,520.500,118.000,0,0.000,1,0.000,0.000,NaN
8,0,117,117,459.000,96.500,459.000,96.500,0,0.000,1,0.000,0.000,NaN
9,0,105,105,342.000,117.000,342.000,117.000,0,0.000,1,0.000,0.000,NaN
10,0,0,0,309.000,132.500,309.000,132.500,0,0.000,1,0.000,0.000,NaN
11,0,63,63,171.500,120.000,171.500,120.000,0,0.000,1,0.000,0.000,NaN
12,0,0,0,142.000,115.000,142.000,115.000,0,0.000,1,0.000,0.000,NaN
13,0,116,116,95.000,108.000,95.000,108.000,0,0.000,1,0.000,0.000,NaN
14,0,1,1,71.000,108.500,71.000,108.500,0,0.000,1,0.000,0.000,NaN
