 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,46.000,177.500,46.000,177.500,0,0.000,1,0.000,0.000,NaN
2,0,6,6,303.500,147.500,303.500,147.500,0,0.000,1,0.000,0.000,NaN
3,0,9,9,353.500,145.000,353.500,145.000,0,0.000,1,0.000,0.000,NaN
4,0,15,15,332.500,152.500,332.500,152.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,438.000,157.000,438.000,157.000,0,0.000,1,0.000,0.000,NaN
6,0,12,12,593.000,146.000,593.000,146.000,0,0.000,1,0.000,0.000,NaN
7,0,6,6,478.500,200.000,478.500,200.000,0,0.000,1,0.000,0.000,NaN
8,0,7,7,421.000,184.500,421.000,184.500,0,0.000,1,0.000,0.000,NaN
9,0,6,6,298.500,192.000,298.500,192.000,0,0.000,1,0.000,0.000,NaN
10,0,6,6,262.000,196.000,262.000,196.000,0,0.000,1,0.000,0.000,NaN
11,0,5,5,210.000,187.500,210.000,187.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,172.000,186.500,172.000,186.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,116.000,186.000,116.000,186.000,0,0.000,1,0.000,0.000,NaN
14,0,1,1,106.000,191.000,106.000,191.000,0,0.000,1,0.000,0.000,NaN
