 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,43.000,156.000,43.000,156.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,330.833,122.167,330.833,122.167,0,0.000,1,0.000,0.000,NaN
3,0,12,12,380.167,114.167,380.167,114.167,0,0.000,1,0.000,0.000,NaN
4,0,15,15,367.500,129.500,367.500,129.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,453.500,140.833,453.500,140.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,599.500,134.167,599.500,134.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,493.500,183.500,493.500,183.500,0,0.000,1,0.000,0.000,NaN
8,0,1,1,442.833,162.167,442.833,162.167,0,0.000,1,0.000,0.000,NaN
9,0,15,15,342.167,166.167,342.167,166.167,0,0.000,1,0.000,0.000,NaN
10,0,6,6,302.167,170.167,302.167,170.167,0,0.000,1,0.000,0.000,NaN
11,0,1,1,218.833,170.833,218.833,170.833,0,0.000,1,0.000,0.000,NaN
12,0,1,1,180.167,170.833,180.167,170.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,111.500,165.500,111.500,165.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,98.833,171.500,98.833,171.500,0,0.000,1,0.000,0.000,NaN
