 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,40.000,151.000,40.000,151.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,326.500,122.500,326.500,122.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,363.500,110.500,363.500,110.500,0,0.000,1,0.000,0.000,NaN
4,0,15,15,347.500,125.500,347.500,125.500,0,0.000,1,0.000,0.000,NaN
5,0,4,4,454.500,129.500,454.500,129.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,595.500,146.500,595.500,146.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,478.500,182.500,478.500,182.500,0,0.000,1,0.000,0.000,NaN
8,0,14,14,436.500,154.500,436.500,154.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,328.500,162.500,328.500,162.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,285.500,174.500,285.500,174.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,200.500,166.500,200.500,166.500,0,0.000,1,0.000,0.000,NaN
12,0,0,0,157.500,162.500,157.500,162.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,116.500,159.500,116.500,159.500,0,0.000,1,0.000,0.000,NaN
14,0,0,0,108.333,162.667,108.333,162.667,0,0.000,1,0.000,0.000,NaN
