 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,246,246,21.500,95.000,21.500,95.000,0,0.000,1,0.000,0.000,NaN
2,0,93,93,318.000,73.500,318.000,73.500,0,0.000,1,0.000,0.000,NaN
3,0,255,255,368.500,44.000,368.500,44.000,0,0.000,1,0.000,0.000,NaN
4,0,44,44,361.500,80.500,361.500,80.500,0,0.000,1,0.000,0.000,NaN
5,0,126,126,506.000,84.500,506.000,84.500,0,0.000,1,0.000,0.000,NaN
6,0,254,254,614.000,61.500,614.000,61.500,0,0.000,1,0.000,0.000,NaN
7,0,254,254,546.500,115.500,546.500,115.500,0,0.000,1,0.000,0.000,NaN
8,0,101,101,501.500,105.000,501.500,105.000,0,0.000,1,0.000,0.000,NaN
9,0,100,100,322.000,116.000,322.000,116.000,0,0.000,1,0.000,0.000,NaN
10,0,60,60,287.000,116.000,287.000,116.000,0,0.000,1,0.000,0.000,NaN
11,0,72,72,154.500,114.000,154.500,114.000,0,0.000,1,0.000,0.000,NaN
12,0,102,102,127.000,112.500,127.000,112.500,0,0.000,1,0.000,0.000,NaN
13,0,134,134,62.000,110.500,62.000,110.500,0,0.000,1,0.000,0.000,NaN
14,0,251,251,53.500,112.500,53.500,112.500,0,0.000,1,0.000,0.000,NaN
