 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,32.500,89.000,32.500,89.000,0,0.000,1,0.000,0.000,NaN
2,0,14,14,302.500,68.000,302.500,68.000,0,0.000,1,0.000,0.000,NaN
3,0,14,14,350.000,38.000,350.000,38.000,0,0.000,1,0.000,0.000,NaN
4,0,13,13,347.000,66.000,347.000,66.000,0,0.000,1,0.000,0.000,NaN
5,0,8,8,502.500,72.500,502.500,72.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,588.500,63.000,588.500,63.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,527.000,103.500,527.000,103.500,0,0.000,1,0.000,0.000,NaN
8,0,13,13,479.500,95.000,479.500,95.000,0,0.000,1,0.000,0.000,NaN
9,0,12,12,306.500,103.000,306.500,103.000,0,0.000,1,0.000,0.000,NaN
10,0,8,8,274.500,110.000,274.500,110.000,0,0.000,1,0.000,0.000,NaN
11,0,15,15,168.500,106.500,168.500,106.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,137.500,105.500,137.500,105.500,0,0.000,1,0.000,0.000,NaN
13,0,7,7,82.000,102.000,82.000,102.000,0,0.000,1,0.000,0.000,NaN
14,0,9,9,67.000,107.000,67.000,107.000,0,0.000,1,0.000,0.000,NaN
