 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,164,164,16.000,83.000,16.000,83.000,0,0.000,1,0.000,0.000,NaN
2,0,65,65,300.500,58.000,300.500,58.000,0,0.000,1,0.000,0.000,NaN
3,0,151,151,343.500,38.500,343.500,38.500,0,0.000,1,0.000,0.000,NaN
4,0,33,33,334.500,62.000,334.500,62.000,0,0.000,1,0.000,0.000,NaN
5,0,65,65,513.500,71.500,513.500,71.500,0,0.000,1,0.000,0.000,NaN
6,0,254,254,615.000,45.000,615.000,45.000,0,0.000,1,0.000,0.000,NaN
7,0,172,172,545.000,100.000,545.000,100.000,0,0.000,1,0.000,0.000,NaN
8,0,188,188,509.500,94.000,509.500,94.000,0,0.000,1,0.000,0.000,NaN
9,0,100,100,305.500,102.000,305.500,102.000,0,0.000,1,0.000,0.000,NaN
10,0,147,147,271.500,101.500,271.500,101.500,0,0.000,1,0.000,0.000,NaN
11,0,94,94,154.000,107.000,154.000,107.000,0,0.000,1,0.000,0.000,NaN
12,0,132,132,111.500,102.500,111.500,102.500,0,0.000,1,0.000,0.000,NaN
13,0,142,142,52.500,93.500,52.500,93.500,0,0.000,1,0.000,0.000,NaN
14,0,245,245,46.000,98.500,46.000,98.500,0,0.000,1,0.000,0.000,NaN
