 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,38.500,158.500,38.500,158.500,0,0.000,1,0.000,0.000,NaN
2,0,2,2,277.000,131.000,277.000,131.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,328.500,95.000,328.500,95.000,0,0.000,1,0.000,0.000,NaN
4,0,9,9,321.500,133.500,321.500,133.500,0,0.000,1,0.000,0.000,NaN
5,0,2,2,485.500,144.500,485.500,144.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,591.500,145.000,591.500,145.000,0,0.000,1,0.000,0.000,NaN
7,0,4,4,502.000,179.000,502.000,179.000,0,0.000,1,0.000,0.000,NaN
8,0,6,6,471.500,165.500,471.500,165.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,294.000,174.500,294.000,174.500,0,0.000,1,0.000,0.000,NaN
10,0,6,6,254.500,175.500,254.500,175.500,0,0.000,1,0.000,0.000,NaN
11,0,2,2,159.000,174.500,159.000,174.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,129.500,175.500,129.500,175.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,78.000,171.000,78.000,171.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,70.000,174.500,70.000,174.500,0,0.000,1,0.000,0.000,NaN
