 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,43.000,171.000,43.000,171.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,324.500,145.000,324.500,145.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,375.000,111.500,375.000,111.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,367.500,145.500,367.500,145.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,498.000,152.500,498.000,152.500,0,0.000,1,0.000,0.000,NaN
6,0,2,2,597.000,139.500,597.000,139.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,522.000,184.500,522.000,184.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,484.000,175.500,484.000,175.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,322.000,185.000,322.000,185.000,0,0.000,1,0.000,0.000,NaN
10,0,9,9,288.500,190.500,288.500,190.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,166.000,185.000,166.000,185.000,0,0.000,1,0.000,0.000,NaN
12,0,7,7,140.500,190.000,140.500,190.000,0,0.000,1,0.000,0.000,NaN
13,0,0,0,83.500,182.500,83.500,182.500,0,0.000,1,0.000,0.000,NaN
14,0,9,9,66.000,185.000,66.000,185.000,0,0.000,1,0.000,0.000,NaN
