 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,49.000,158.500,49.000,158.500,0,0.000,1,0.000,0.000,NaN
2,0,7,7,291.500,129.500,291.500,129.500,0,0.000,1,0.000,0.000,NaN
3,0,5,5,358.000,91.500,358.000,91.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,348.500,139.000,348.500,139.000,0,0.000,1,0.000,0.000,NaN
5,0,5,5,481.500,146.500,481.500,146.500,0,0.000,1,0.000,0.000,NaN
6,0,14,14,590.000,135.500,590.000,135.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,531.000,182.500,531.000,182.500,0,0.000,1,0.000,0.000,NaN
8,0,5,5,476.000,166.500,476.000,166.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,311.000,176.500,311.000,176.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,258.500,185.000,258.500,185.000,0,0.000,1,0.000,0.000,NaN
11,0,4,4,181.000,175.000,181.000,175.000,0,0.000,1,0.000,0.000,NaN
12,0,14,14,143.500,175.500,143.500,175.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,76.000,170.000,76.000,170.000,0,0.000,1,0.000,0.000,NaN
14,0,5,5,73.000,173.000,73.000,173.000,0,0.000,1,0.000,0.000,NaN
