 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,5,5,41.000,172.000,41.000,172.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,220.000,126.500,220.000,126.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,271.000,78.000,271.000,78.000,0,0.000,1,0.000,0.000,NaN
4,0,4,4,278.500,131.000,278.500,131.000,0,0.000,1,0.000,0.000,NaN
5,0,12,12,450.500,172.000,450.500,172.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,138.000,596.500,138.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,509.500,234.500,509.500,234.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,445.500,193.000,445.500,193.000,0,0.000,1,0.000,0.000,NaN
9,0,9,9,346.000,200.500,346.000,200.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,318.500,199.500,318.500,199.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,199.000,201.500,199.000,201.500,0,0.000,1,0.000,0.000,NaN
12,0,5,5,164.500,201.500,164.500,201.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,113.500,193.000,113.500,193.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,90.500,195.500,90.500,195.500,0,0.000,1,0.000,0.000,NaN
