 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,46.000,164.000,46.000,164.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,229.500,122.000,229.500,122.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,283.000,73.000,283.000,73.000,0,0.000,1,0.000,0.000,NaN
4,0,12,12,291.000,129.000,291.000,129.000,0,0.000,1,0.000,0.000,NaN
5,0,12,12,454.500,155.500,454.500,155.500,0,0.000,1,0.000,0.000,NaN
6,0,3,3,603.500,124.500,603.500,124.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,517.500,225.500,517.500,225.500,0,0.000,1,0.000,0.000,NaN
8,0,12,12,455.000,177.500,455.000,177.500,0,0.000,1,0.000,0.000,NaN
9,0,12,12,362.500,186.000,362.500,186.000,0,0.000,1,0.000,0.000,NaN
10,0,12,12,330.500,191.000,330.500,191.000,0,0.000,1,0.000,0.000,NaN
11,0,8,8,213.500,188.000,213.500,188.000,0,0.000,1,0.000,0.000,NaN
12,0,12,12,178.000,184.500,178.000,184.500,0,0.000,1,0.000,0.000,NaN
13,0,12,12,123.500,181.000,123.500,181.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,95.500,182.500,95.500,182.500,0,0.000,1,0.000,0.000,NaN
