 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,46.000,198.000,46.000,198.000,0,0.000,1,0.000,0.000,NaN
2,0,3,3,230.500,150.500,230.500,150.500,0,0.000,1,0.000,0.000,NaN
3,0,6,6,286.500,95.500,286.500,95.500,0,0.000,1,0.000,0.000,NaN
4,0,6,6,286.500,151.500,286.500,151.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,479.500,178.500,479.500,178.500,0,0.000,1,0.000,0.000,NaN
6,0,14,14,593.500,86.500,593.500,86.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,546.500,233.500,546.500,233.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,481.500,203.500,481.500,203.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,375.500,213.500,375.500,213.500,0,0.000,1,0.000,0.000,NaN
10,0,5,5,342.500,217.500,342.500,217.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,212.500,215.500,212.500,215.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,177.500,220.500,177.500,220.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,109.500,206.500,109.500,206.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,93.500,210.500,93.500,210.500,0,0.000,1,0.000,0.000,NaN
