 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,10,10,35.000,164.500,35.000,164.500,0,0.000,1,0.000,0.000,NaN
2,0,10,10,248.500,122.000,248.500,122.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,299.500,72.000,299.500,72.000,0,0.000,1,0.000,0.000,NaN
4,0,10,10,309.500,124.500,309.500,124.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,513.500,165.000,513.500,165.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,610.500,112.500,610.500,112.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,573.000,232.000,573.000,232.000,0,0.000,1,0.000,0.000,NaN
8,0,6,6,513.000,174.500,513.000,174.500,0,0.000,1,0.000,0.000,NaN
9,0,10,10,416.500,190.000,416.500,190.000,0,0.000,1,0.000,0.000,NaN
10,0,9,9,389.500,201.000,389.500,201.000,0,0.000,1,0.000,0.000,NaN
11,0,9,9,227.500,203.000,227.500,203.000,0,0.000,1,0.000,0.000,NaN
12,0,10,10,186.500,201.500,186.500,201.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,93.500,187.000,93.500,187.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,73.000,193.500,73.000,193.500,0,0.000,1,0.000,0.000,NaN
