 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,38.000,169.000,38.000,169.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,218.000,126.500,218.000,126.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,266.500,93.000,266.500,93.000,0,0.000,1,0.000,0.000,NaN
4,0,12,12,260.000,133.500,260.000,133.500,0,0.000,1,0.000,0.000,NaN
5,0,12,12,446.000,158.000,446.000,158.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,597.500,121.500,597.500,121.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,499.500,208.500,499.500,208.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,437.500,180.500,437.500,180.500,0,0.000,1,0.000,0.000,NaN
9,0,9,9,326.500,192.000,326.500,192.000,0,0.000,1,0.000,0.000,NaN
10,0,12,12,302.000,194.000,302.000,194.000,0,0.000,1,0.000,0.000,NaN
11,0,12,12,193.000,190.000,193.000,190.000,0,0.000,1,0.000,0.000,NaN
12,0,5,5,160.500,188.500,160.500,188.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,104.500,185.000,104.500,185.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,82.000,188.500,82.000,188.500,0,0.000,1,0.000,0.000,NaN
