 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,48.000,174.500,48.000,174.500,0,0.000,1,0.000,0.000,NaN
2,0,12,12,202.500,128.500,202.500,128.500,0,0.000,1,0.000,0.000,NaN
3,0,12,12,267.500,77.000,267.500,77.000,0,0.000,1,0.000,0.000,NaN
4,0,12,12,271.000,133.500,271.000,133.500,0,0.000,1,0.000,0.000,NaN
5,0,3,3,456.000,164.500,456.000,164.500,0,0.000,1,0.000,0.000,NaN
6,0,1,1,605.500,143.000,605.500,143.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,504.500,228.500,504.500,228.500,0,0.000,1,0.000,0.000,NaN
8,0,0,0,452.500,184.000,452.500,184.000,0,0.000,1,0.000,0.000,NaN
9,0,1,1,354.500,190.500,354.500,190.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,321.500,197.500,321.500,197.500,0,0.000,1,0.000,0.000,NaN
11,0,10,10,209.000,202.500,209.000,202.500,0,0.000,1,0.000,0.000,NaN
12,0,0,0,169.000,202.000,169.000,202.000,0,0.000,1,0.000,0.000,NaN
13,0,11,11,110.500,188.000,110.500,188.000,0,0.000,1,0.000,0.000,NaN
14,0,5,5,85.000,194.500,85.000,194.500,0,0.000,1,0.000,0.000,NaN
