 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,45.500,172.000,45.500,172.000,0,0.000,1,0.000,0.000,NaN
2,0,14,14,207.500,120.500,207.500,120.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,269.500,63.500,269.500,63.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,274.000,128.000,274.000,128.000,0,0.000,1,0.000,0.000,NaN
5,0,1,1,450.000,159.500,450.000,159.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,603.500,138.000,603.500,138.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,506.000,224.000,506.000,224.000,0,0.000,1,0.000,0.000,NaN
8,0,10,10,445.500,182.500,445.500,182.500,0,0.000,1,0.000,0.000,NaN
9,0,12,12,346.500,186.500,346.500,186.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,318.500,195.500,318.500,195.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,202.000,200.000,202.000,200.000,0,0.000,1,0.000,0.000,NaN
12,0,10,10,172.500,193.500,172.500,193.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,117.500,187.500,117.500,187.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,90.500,188.000,90.500,188.000,0,0.000,1,0.000,0.000,NaN
