 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,42.000,159.000,42.000,159.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,230.167,130.500,230.167,130.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,294.167,85.167,294.167,85.167,0,0.000,1,0.000,0.000,NaN
4,0,11,11,296.833,135.833,296.833,135.833,0,0.000,1,0.000,0.000,NaN
5,0,11,11,476.833,158.500,476.833,158.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,600.833,139.167,600.833,139.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,533.500,217.167,533.500,217.167,0,0.000,1,0.000,0.000,NaN
8,0,6,6,474.167,179.167,474.167,179.167,0,0.000,1,0.000,0.000,NaN
9,0,15,15,358.833,193.833,358.833,193.833,0,0.000,1,0.000,0.000,NaN
10,0,15,15,328.833,198.500,328.833,198.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,204.167,201.833,204.167,201.833,0,0.000,1,0.000,0.000,NaN
12,0,8,8,170.167,197.167,170.167,197.167,0,0.000,1,0.000,0.000,NaN
13,0,15,15,102.833,183.833,102.833,183.833,0,0.000,1,0.000,0.000,NaN
14,0,3,3,76.833,178.500,76.833,178.500,0,0.000,1,0.000,0.000,NaN
