 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,46.000,198.500,46.000,198.500,0,0.000,1,0.000,0.000,NaN
2,0,0,0,196.500,141.500,196.500,141.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,272.000,75.000,272.000,75.000,0,0.000,1,0.000,0.000,NaN
4,0,11,11,264.000,146.000,264.000,146.000,0,0.000,1,0.000,0.000,NaN
5,0,11,11,458.500,175.500,458.500,175.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,600.000,98.000,600.000,98.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,516.500,226.500,516.500,226.500,0,0.000,1,0.000,0.000,NaN
8,0,11,11,454.500,198.500,454.500,198.500,0,0.000,1,0.000,0.000,NaN
9,0,0,0,347.000,220.000,347.000,220.000,0,0.000,1,0.000,0.000,NaN
10,0,11,11,317.000,227.000,317.000,227.000,0,0.000,1,0.000,0.000,NaN
11,0,11,11,202.500,219.500,202.500,219.500,0,0.000,1,0.000,0.000,NaN
12,0,2,2,165.000,220.500,165.000,220.500,0,0.000,1,0.000,0.000,NaN
13,0,9,9,112.500,207.000,112.500,207.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,90.000,214.500,90.000,214.500,0,0.000,1,0.000,0.000,NaN
