 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,3,3,48.000,168.500,48.000,168.500,0,0.000,1,0.000,0.000,NaN
2,0,3,3,215.500,129.500,215.500,129.500,0,0.000,1,0.000,0.000,NaN
3,0,3,3,259.500,78.500,259.500,78.500,0,0.000,1,0.000,0.000,NaN
4,0,3,3,280.500,131.500,280.500,131.500,0,0.000,1,0.000,0.000,NaN
5,0,1,1,456.000,153.000,456.000,153.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,602.000,120.500,602.000,120.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,509.500,215.000,509.500,215.000,0,0.000,1,0.000,0.000,NaN
8,0,3,3,455.500,174.000,455.500,174.000,0,0.000,1,0.000,0.000,NaN
9,0,8,8,355.000,193.500,355.000,193.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,331.000,208.500,331.000,208.500,0,0.000,1,0.000,0.000,NaN
11,0,3,3,187.000,212.500,187.000,212.500,0,0.000,1,0.000,0.000,NaN
12,0,3,3,157.000,204.500,157.000,204.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,111.500,186.000,111.500,186.000,0,0.000,1,0.000,0.000,NaN
14,0,3,3,89.000,183.500,89.000,183.500,0,0.000,1,0.000,0.000,NaN
