 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,41.000,182.000,41.000,182.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,260.000,135.000,260.000,135.000,0,0.000,1,0.000,0.000,NaN
3,0,5,5,310.000,105.000,310.000,105.000,0,0.000,1,0.000,0.000,NaN
4,0,2,2,306.500,140.500,306.500,140.500,0,0.000,1,0.000,0.000,NaN
5,0,2,2,440.000,154.500,440.000,154.500,0,0.000,1,0.000,0.000,NaN
6,0,10,10,594.000,132.500,594.000,132.500,0,0.000,1,0.000,0.000,NaN
7,0,5,5,488.000,204.000,488.000,204.000,0,0.000,1,0.000,0.000,NaN
8,0,13,13,448.000,182.000,448.000,182.000,0,0.000,1,0.000,0.000,NaN
9,0,13,13,352.500,201.500,352.500,201.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,315.000,206.000,315.000,206.000,0,0.000,1,0.000,0.000,NaN
11,0,0,0,206.500,208.500,206.500,208.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,170.500,202.500,170.500,202.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,103.000,190.500,103.000,190.500,0,0.000,1,0.000,0.000,NaN
14,0,13,13,77.500,196.000,77.500,196.000,0,0.000,1,0.000,0.000,NaN
