 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,31.500,132.500,31.500,132.500,0,0.000,1,0.000,0.000,NaN
2,0,6,6,201.500,94.000,201.500,94.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,264.000,31.000,264.000,31.000,0,0.000,1,0.000,0.000,NaN
4,0,0,0,281.500,102.000,281.500,102.000,0,0.000,1,0.000,0.000,NaN
5,0,4,4,449.500,125.500,449.500,125.500,0,0.000,1,0.000,0.000,NaN
6,0,8,8,587.000,40.000,587.000,40.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,507.500,181.000,507.500,181.000,0,0.000,1,0.000,0.000,NaN
8,0,15,15,455.500,144.000,455.500,144.000,0,0.000,1,0.000,0.000,NaN
9,0,15,15,352.000,165.000,352.000,165.000,0,0.000,1,0.000,0.000,NaN
10,0,15,15,320.000,173.500,320.000,173.500,0,0.000,1,0.000,0.000,NaN
11,0,14,14,192.000,160.000,192.000,160.000,0,0.000,1,0.000,0.000,NaN
12,0,0,0,153.500,157.500,153.500,157.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,96.500,153.500,96.500,153.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,75.500,153.000,75.500,153.000,0,0.000,1,0.000,0.000,NaN
