 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,22.000,115.000,22.000,115.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,214.167,68.833,214.167,68.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,263.500,32.833,263.500,32.833,0,0.000,1,0.000,0.000,NaN
4,0,10,10,274.167,74.833,274.167,74.833,0,0.000,1,0.000,0.000,NaN
5,0,7,7,486.833,97.500,486.833,97.500,0,0.000,1,0.000,0.000,NaN
6,0,0,0,604.833,61.500,604.833,61.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,536.833,148.167,536.833,148.167,0,0.000,1,0.000,0.000,NaN
8,0,11,11,477.500,117.500,477.500,117.500,0,0.000,1,0.000,0.000,NaN
9,0,11,11,390.167,128.833,390.167,128.833,0,0.000,1,0.000,0.000,NaN
10,0,13,13,356.833,138.167,356.833,138.167,0,0.000,1,0.000,0.000,NaN
11,0,11,11,169.500,132.833,169.500,132.833,0,0.000,1,0.000,0.000,NaN
12,0,14,14,155.500,118.833,155.500,118.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,94.833,124.833,94.833,124.833,0,0.000,1,0.000,0.000,NaN
14,0,11,11,77.500,132.833,77.500,132.833,0,0.000,1,0.000,0.000,NaN
