 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,27.000,176.000,27.000,176.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,238.167,130.167,238.167,130.167,0,0.000,1,0.000,0.000,NaN
3,0,15,15,273.500,112.167,273.500,112.167,0,0.000,1,0.000,0.000,NaN
4,0,0,0,264.167,130.833,264.167,130.833,0,0.000,1,0.000,0.000,NaN
5,0,8,8,515.500,155.500,515.500,155.500,0,0.000,1,0.000,0.000,NaN
6,0,3,3,604.167,108.833,604.167,108.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,546.833,217.500,546.833,217.500,0,0.000,1,0.000,0.000,NaN
8,0,2,2,504.833,178.833,504.833,178.833,0,0.000,1,0.000,0.000,NaN
9,0,10,10,438.167,182.167,438.167,182.167,0,0.000,1,0.000,0.000,NaN
10,0,4,4,400.833,192.833,400.833,192.833,0,0.000,1,0.000,0.000,NaN
11,0,7,7,175.500,195.500,175.500,195.500,0,0.000,1,0.000,0.000,NaN
12,0,3,3,140.833,187.500,140.833,187.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,84.833,188.167,84.833,188.167,0,0.000,1,0.000,0.000,NaN
14,0,15,15,68.167,195.500,68.167,195.500,0,0.000,1,0.000,0.000,NaN
