 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,32.000,160.000,32.000,160.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,211.500,129.500,211.500,129.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,278.833,104.833,278.833,104.833,0,0.000,1,0.000,0.000,NaN
4,0,0,0,277.500,133.500,277.500,133.500,0,0.000,1,0.000,0.000,NaN
5,0,2,2,509.500,153.500,509.500,153.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,613.500,122.833,613.500,122.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,545.500,197.500,545.500,197.500,0,0.000,1,0.000,0.000,NaN
8,0,10,10,493.500,174.167,493.500,174.167,0,0.000,1,0.000,0.000,NaN
9,0,3,3,444.167,177.500,444.167,177.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,404.167,184.167,404.167,184.167,0,0.000,1,0.000,0.000,NaN
11,0,1,1,194.167,182.833,194.167,182.833,0,0.000,1,0.000,0.000,NaN
12,0,5,5,161.500,178.167,161.500,178.167,0,0.000,1,0.000,0.000,NaN
13,0,6,6,113.500,175.500,113.500,175.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,98.833,182.167,98.833,182.167,0,0.000,1,0.000,0.000,NaN
