 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,48.000,154.000,48.000,154.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,234.167,126.167,234.167,126.167,0,0.000,1,0.000,0.000,NaN
3,0,15,15,284.167,111.500,284.167,111.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,276.167,130.833,276.167,130.833,0,0.000,1,0.000,0.000,NaN
5,0,7,7,464.167,158.833,464.167,158.833,0,0.000,1,0.000,0.000,NaN
6,0,14,14,596.167,149.500,596.167,149.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,508.833,204.833,508.833,204.833,0,0.000,1,0.000,0.000,NaN
8,0,5,5,455.500,174.167,455.500,174.167,0,0.000,1,0.000,0.000,NaN
9,0,12,12,400.167,177.500,400.167,177.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,358.167,193.500,358.167,193.500,0,0.000,1,0.000,0.000,NaN
11,0,12,12,196.833,182.167,196.833,182.167,0,0.000,1,0.000,0.000,NaN
12,0,12,12,169.500,186.833,169.500,186.833,0,0.000,1,0.000,0.000,NaN
13,0,4,4,109.500,174.167,109.500,174.167,0,0.000,1,0.000,0.000,NaN
14,0,15,15,93.500,178.833,93.500,178.833,0,0.000,1,0.000,0.000,NaN
