 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,29.000,159.500,29.000,159.500,0,0.000,1,0.000,0.000,NaN
2,0,9,9,237.000,133.000,237.000,133.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,271.000,113.000,271.000,113.000,0,0.000,1,0.000,0.000,NaN
4,0,10,10,272.500,135.000,272.500,135.000,0,0.000,1,0.000,0.000,NaN
5,0,15,15,499.000,153.000,499.000,153.000,0,0.000,1,0.000,0.000,NaN
6,0,8,8,608.000,148.500,608.000,148.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,524.500,190.000,524.500,190.000,0,0.000,1,0.000,0.000,NaN
8,0,6,6,489.000,175.500,489.000,175.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,398.000,179.000,398.000,179.000,0,0.000,1,0.000,0.000,NaN
10,0,2,2,368.000,185.500,368.000,185.500,0,0.000,1,0.000,0.000,NaN
11,0,9,9,189.000,182.000,189.000,182.000,0,0.000,1,0.000,0.000,NaN
12,0,1,1,158.000,173.000,158.000,173.000,0,0.000,1,0.000,0.000,NaN
13,0,7,7,104.500,175.500,104.500,175.500,0,0.000,1,0.000,0.000,NaN
14,0,6,6,76.000,183.000,76.000,183.000,0,0.000,1,0.000,0.000,NaN
