 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,44.000,161.000,44.000,161.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,230.167,141.500,230.167,141.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,273.500,101.500,273.500,101.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,281.500,146.167,281.500,146.167,0,0.000,1,0.000,0.000,NaN
5,0,15,15,491.500,162.833,491.500,162.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.167,126.167,596.167,126.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,518.167,212.833,518.167,212.833,0,0.000,1,0.000,0.000,NaN
8,0,10,10,466.833,183.500,466.833,183.500,0,0.000,1,0.000,0.000,NaN
9,0,6,6,374.167,189.500,374.167,189.500,0,0.000,1,0.000,0.000,NaN
10,0,3,3,357.500,200.167,357.500,200.167,0,0.000,1,0.000,0.000,NaN
11,0,15,15,207.500,180.833,207.500,180.833,0,0.000,1,0.000,0.000,NaN
12,0,2,2,172.167,188.833,172.167,188.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,121.500,180.833,121.500,180.833,0,0.000,1,0.000,0.000,NaN
14,0,15,15,115.500,187.500,115.500,187.500,0,0.000,1,0.000,0.000,NaN
