 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,253,253,24.500,344.000,24.500,344.000,0,0.000,1,0.000,0.000,NaN
2,0,72,72,336.500,315.000,336.500,315.000,0,0.000,1,0.000,0.000,NaN
3,0,253,253,383.000,300.500,383.000,300.500,0,0.000,1,0.000,0.000,NaN
4,0,64,64,367.500,324.500,367.500,324.500,0,0.000,1,0.000,0.000,NaN
5,0,51,51,488.000,336.000,488.000,336.000,0,0.000,1,0.000,0.000,NaN
6,0,251,251,611.000,317.000,611.000,317.000,0,0.000,1,0.000,0.000,NaN
7,0,253,253,535.500,375.000,535.500,375.000,0,0.000,1,0.000,0.000,NaN
8,0,172,172,485.000,353.000,485.000,353.000,0,0.000,1,0.000,0.000,NaN
9,0,146,146,346.500,359.500,346.500,359.500,0,0.000,1,0.000,0.000,NaN
10,0,195,195,331.000,366.500,331.000,366.500,0,0.000,1,0.000,0.000,NaN
11,0,163,163,175.500,380.500,175.500,380.500,0,0.000,1,0.000,0.000,NaN
12,0,134,134,140.000,377.000,140.000,377.000,0,0.000,1,0.000,0.000,NaN
13,0,133,133,70.000,362.000,70.000,362.000,0,0.000,1,0.000,0.000,NaN
14,0,181,181,55.000,363.000,55.000,363.000,0,0.000,1,0.000,0.000,NaN
