 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,45.500,168.000,45.500,168.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,213.500,128.000,213.500,128.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,267.500,89.500,267.500,89.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,275.000,128.000,275.000,128.000,0,0.000,1,0.000,0.000,NaN
5,0,11,11,487.500,161.000,487.500,161.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,587.000,117.500,587.000,117.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,529.500,206.000,529.500,206.000,0,0.000,1,0.000,0.000,NaN
8,0,11,11,474.000,177.500,474.000,177.500,0,0.000,1,0.000,0.000,NaN
9,0,7,7,373.000,182.000,373.000,182.000,0,0.000,1,0.000,0.000,NaN
10,0,8,8,355.000,198.000,355.000,198.000,0,0.000,1,0.000,0.000,NaN
11,0,0,0,189.000,183.500,189.000,183.500,0,0.000,1,0.000,0.000,NaN
12,0,14,14,160.000,185.500,160.000,185.500,0,0.000,1,0.000,0.000,NaN
13,0,4,4,108.500,182.500,108.500,182.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,100.000,190.000,100.000,190.000,0,0.000,1,0.000,0.000,NaN
