 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,13,13,33.000,172.000,33.000,172.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,311.500,140.833,311.500,140.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,356.833,101.500,356.833,101.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,346.833,145.500,346.833,145.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,488.167,150.833,488.167,150.833,0,0.000,1,0.000,0.000,NaN
6,0,15,15,612.167,128.167,612.167,128.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,533.500,199.500,533.500,199.500,0,0.000,1,0.000,0.000,NaN
8,0,8,8,468.167,172.833,468.167,172.833,0,0.000,1,0.000,0.000,NaN
9,0,6,6,330.167,178.833,330.167,178.833,0,0.000,1,0.000,0.000,NaN
10,0,13,13,288.167,185.500,288.167,185.500,0,0.000,1,0.000,0.000,NaN
11,0,5,5,168.167,195.500,168.167,195.500,0,0.000,1,0.000,0.000,NaN
12,0,2,2,130.167,196.167,130.167,196.167,0,0.000,1,0.000,0.000,NaN
13,0,9,9,66.833,182.833,66.833,182.833,0,0.000,1,0.000,0.000,NaN
14,0,15,15,57.500,186.833,57.500,186.833,0,0.000,1,0.000,0.000,NaN
