 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,40.000,156.000,40.000,156.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,248.833,119.500,248.833,119.500,0,0.000,1,0.000,0.000,NaN
3,0,15,15,303.500,102.833,303.500,102.833,0,0.000,1,0.000,0.000,NaN
4,0,1,1,300.167,125.500,300.167,125.500,0,0.000,1,0.000,0.000,NaN
5,0,1,1,481.500,147.500,481.500,147.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,621.500,116.833,621.500,116.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,533.500,182.833,533.500,182.833,0,0.000,1,0.000,0.000,NaN
8,0,5,5,470.167,168.167,470.167,168.167,0,0.000,1,0.000,0.000,NaN
9,0,4,4,394.833,176.167,394.833,176.167,0,0.000,1,0.000,0.000,NaN
10,0,1,1,348.167,182.167,348.167,182.167,0,0.000,1,0.000,0.000,NaN
11,0,1,1,206.167,174.167,206.167,174.167,0,0.000,1,0.000,0.000,NaN
12,0,1,1,176.833,171.500,176.833,171.500,0,0.000,1,0.000,0.000,NaN
13,0,13,13,111.500,172.167,111.500,172.167,0,0.000,1,0.000,0.000,NaN
14,0,12,12,96.833,174.833,96.833,174.833,0,0.000,1,0.000,0.000,NaN
