 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,0,0,28.000,167.000,28.000,167.000,0,0.000,1,0.000,0.000,NaN
2,0,7,7,240.833,115.167,240.833,115.167,0,0.000,1,0.000,0.000,NaN
3,0,2,2,270.167,121.833,270.167,121.833,0,0.000,1,0.000,0.000,NaN
4,0,5,5,288.833,104.500,288.833,104.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,504.167,147.167,504.167,147.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,608.833,111.167,608.833,111.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,545.500,194.500,545.500,194.500,0,0.000,1,0.000,0.000,NaN
8,0,9,9,494.167,165.167,494.167,165.167,0,0.000,1,0.000,0.000,NaN
9,0,9,9,436.167,171.167,436.167,171.167,0,0.000,1,0.000,0.000,NaN
10,0,13,13,388.833,181.833,388.833,181.833,0,0.000,1,0.000,0.000,NaN
11,0,12,12,184.167,170.500,184.167,170.500,0,0.000,1,0.000,0.000,NaN
12,0,3,3,160.167,172.500,160.167,172.500,0,0.000,1,0.000,0.000,NaN
13,0,5,5,98.167,176.500,98.167,176.500,0,0.000,1,0.000,0.000,NaN
14,0,0,0,88.167,183.833,88.167,183.833,0,0.000,1,0.000,0.000,NaN
