 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,9,9,34.000,164.000,34.000,164.000,0,0.000,1,0.000,0.000,NaN
2,0,12,12,228.833,126.833,228.833,126.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,284.167,104.833,284.167,104.833,0,0.000,1,0.000,0.000,NaN
4,0,4,4,276.833,133.500,276.833,133.500,0,0.000,1,0.000,0.000,NaN
5,0,8,8,494.167,151.500,494.167,151.500,0,0.000,1,0.000,0.000,NaN
6,0,10,10,610.167,122.833,610.167,122.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,530.167,203.500,530.167,203.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,474.167,172.833,474.167,172.833,0,0.000,1,0.000,0.000,NaN
9,0,5,5,391.500,180.167,391.500,180.167,0,0.000,1,0.000,0.000,NaN
10,0,11,11,344.833,192.833,344.833,192.833,0,0.000,1,0.000,0.000,NaN
11,0,0,0,191.500,186.833,191.500,186.833,0,0.000,1,0.000,0.000,NaN
12,0,12,12,168.167,184.833,168.167,184.833,0,0.000,1,0.000,0.000,NaN
13,0,15,15,108.833,177.500,108.833,177.500,0,0.000,1,0.000,0.000,NaN
14,0,12,12,90.833,186.833,90.833,186.833,0,0.000,1,0.000,0.000,NaN
