 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,43.000,154.000,43.000,154.000,0,0.000,1,0.000,0.000,NaN
2,0,4,4,310.833,120.833,310.833,120.833,0,0.000,1,0.000,0.000,NaN
3,0,8,8,364.833,98.833,364.833,98.833,0,0.000,1,0.000,0.000,NaN
4,0,12,12,346.833,126.167,346.833,126.167,0,0.000,1,0.000,0.000,NaN
5,0,10,10,474.167,130.167,474.167,130.167,0,0.000,1,0.000,0.000,NaN
6,0,15,15,600.167,106.833,600.167,106.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,522.167,166.167,522.167,166.167,0,0.000,1,0.000,0.000,NaN
8,0,15,15,469.500,146.833,469.500,146.833,0,0.000,1,0.000,0.000,NaN
9,0,0,0,333.500,159.500,333.500,159.500,0,0.000,1,0.000,0.000,NaN
10,0,11,11,298.833,172.833,298.833,172.833,0,0.000,1,0.000,0.000,NaN
11,0,2,2,189.500,166.833,189.500,166.833,0,0.000,1,0.000,0.000,NaN
12,0,15,15,144.167,169.500,144.167,169.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,86.167,167.500,86.167,167.500,0,0.000,1,0.000,0.000,NaN
14,0,1,1,65.500,169.500,65.500,169.500,0,0.000,1,0.000,0.000,NaN
