 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,12,12,55.500,150.000,55.500,150.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,223.500,125.000,223.500,125.000,0,0.000,1,0.000,0.000,NaN
3,0,1,1,295.000,100.500,295.000,100.500,0,0.000,1,0.000,0.000,NaN
4,0,12,12,306.000,130.000,306.000,130.000,0,0.000,1,0.000,0.000,NaN
5,0,2,2,507.500,152.000,507.500,152.000,0,0.000,1,0.000,0.000,NaN
6,0,11,11,587.000,119.500,587.000,119.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,539.000,207.000,539.000,207.000,0,0.000,1,0.000,0.000,NaN
8,0,2,2,495.500,173.500,495.500,173.500,0,0.000,1,0.000,0.000,NaN
9,0,4,4,413.000,176.500,413.000,176.500,0,0.000,1,0.000,0.000,NaN
10,0,2,2,382.000,186.500,382.000,186.500,0,0.000,1,0.000,0.000,NaN
11,0,6,6,204.500,165.500,204.500,165.500,0,0.000,1,0.000,0.000,NaN
12,0,6,6,182.500,175.500,182.500,175.500,0,0.000,1,0.000,0.000,NaN
13,0,11,11,114.000,166.500,114.000,166.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,105.500,178.000,105.500,178.000,0,0.000,1,0.000,0.000,NaN
