 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,254,254,28.000,298.500,28.000,298.500,0,0.000,1,0.000,0.000,NaN
2,0,208,208,320.000,279.000,320.000,279.000,0,0.000,1,0.000,0.000,NaN
3,0,253,253,364.500,263.500,364.500,263.500,0,0.000,1,0.000,0.000,NaN
4,0,55,55,353.500,286.000,353.500,286.000,0,0.000,1,0.000,0.000,NaN
5,0,40,40,468.500,288.500,468.500,288.500,0,0.000,1,0.000,0.000,NaN
6,0,115,115,605.000,253.500,605.000,253.500,0,0.000,1,0.000,0.000,NaN
7,0,251,251,520.500,324.000,520.500,324.000,0,0.000,1,0.000,0.000,NaN
8,0,116,116,466.000,310.000,466.000,310.000,0,0.000,1,0.000,0.000,NaN
9,0,119,119,319.500,320.500,319.500,320.500,0,0.000,1,0.000,0.000,NaN
10,0,135,135,294.500,323.500,294.500,323.500,0,0.000,1,0.000,0.000,NaN
11,0,142,142,179.000,320.500,179.000,320.500,0,0.000,1,0.000,0.000,NaN
12,0,157,157,148.500,314.500,148.500,314.500,0,0.000,1,0.000,0.000,NaN
13,0,178,178,77.000,309.500,77.000,309.500,0,0.000,1,0.000,0.000,NaN
14,0,255,255,59.000,312.500,59.000,312.500,0,0.000,1,0.000,0.000,NaN
