 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,42.500,158.000,42.500,158.000,0,0.000,1,0.000,0.000,NaN
2,0,5,5,336.500,135.000,336.500,135.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,384.000,100.000,384.000,100.000,0,0.000,1,0.000,0.000,NaN
4,0,14,14,384.500,139.000,384.500,139.000,0,0.000,1,0.000,0.000,NaN
5,0,0,0,481.000,135.000,481.000,135.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,595.500,111.500,595.500,111.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,532.000,170.000,532.000,170.000,0,0.000,1,0.000,0.000,NaN
8,0,10,10,487.000,153.500,487.000,153.500,0,0.000,1,0.000,0.000,NaN
9,0,2,2,358.500,172.500,358.500,172.500,0,0.000,1,0.000,0.000,NaN
10,0,0,0,318.500,186.000,318.500,186.000,0,0.000,1,0.000,0.000,NaN
11,0,6,6,215.000,187.000,215.000,187.000,0,0.000,1,0.000,0.000,NaN
12,0,4,4,178.000,180.500,178.000,180.500,0,0.000,1,0.000,0.000,NaN
13,0,14,14,102.000,175.500,102.000,175.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,72.000,179.000,72.000,179.000,0,0.000,1,0.000,0.000,NaN
