 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,41.000,177.000,41.000,177.000,0,0.000,1,0.000,0.000,NaN
2,0,10,10,381.000,150.500,381.000,150.500,0,0.000,1,0.000,0.000,NaN
3,0,9,9,451.000,139.500,451.000,139.500,0,0.000,1,0.000,0.000,NaN
4,0,5,5,437.000,155.000,437.000,155.000,0,0.000,1,0.000,0.000,NaN
5,0,8,8,468.000,155.500,468.000,155.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,615.500,150.000,615.500,150.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,497.000,206.500,497.000,206.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,455.000,186.000,455.000,186.000,0,0.000,1,0.000,0.000,NaN
9,0,2,2,360.000,191.500,360.000,191.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,291.500,193.000,291.500,193.000,0,0.000,1,0.000,0.000,NaN
11,0,11,11,169.000,191.000,169.000,191.000,0,0.000,1,0.000,0.000,NaN
12,0,5,5,139.500,191.000,139.500,191.000,0,0.000,1,0.000,0.000,NaN
13,0,1,1,87.000,185.500,87.000,185.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,42.500,184.000,42.500,184.000,0,0.000,1,0.000,0.000,NaN
