 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,13,13,38.000,232.000,38.000,232.000,0,0.000,1,0.000,0.000,NaN
2,0,1,1,252.833,190.167,252.833,190.167,0,0.000,1,0.000,0.000,NaN
3,0,15,15,294.833,167.500,294.833,167.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,288.167,200.167,288.167,200.167,0,0.000,1,0.000,0.000,NaN
5,0,15,15,470.167,213.500,470.167,213.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,590.833,194.833,590.833,194.833,0,0.000,1,0.000,0.000,NaN
7,0,15,15,474.167,242.833,474.167,242.833,0,0.000,1,0.000,0.000,NaN
8,0,8,8,412.833,234.833,412.833,234.833,0,0.000,1,0.000,0.000,NaN
9,0,15,15,243.500,234.167,243.500,234.167,0,0.000,1,0.000,0.000,NaN
10,0,4,4,207.500,238.167,207.500,238.167,0,0.000,1,0.000,0.000,NaN
11,0,1,1,156.833,242.833,156.833,242.833,0,0.000,1,0.000,0.000,NaN
12,0,11,11,126.167,242.833,126.167,242.833,0,0.000,1,0.000,0.000,NaN
13,0,11,11,69.500,241.500,69.500,241.500,0,0.000,1,0.000,0.000,NaN
14,0,11,11,61.500,241.500,61.500,241.500,0,0.000,1,0.000,0.000,NaN
