 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,44,44,30.500,96.000,30.500,96.000,0,0.000,1,0.000,0.000,NaN
2,0,70,70,262.000,75.000,262.000,75.000,0,0.000,1,0.000,0.000,NaN
3,0,87,87,306.000,55.500,306.000,55.500,0,0.000,1,0.000,0.000,NaN
4,0,3,3,300.000,81.000,300.000,81.000,0,0.000,1,0.000,0.000,NaN
5,0,66,66,452.500,93.000,452.500,93.000,0,0.000,1,0.000,0.000,NaN
6,0,1,1,600.500,95.500,600.500,95.500,0,0.000,1,0.000,0.000,NaN
7,0,1,1,466.500,125.500,466.500,125.500,0,0.000,1,0.000,0.000,NaN
8,0,28,28,430.500,112.000,430.500,112.000,0,0.000,1,0.000,0.000,NaN
9,0,96,96,270.000,116.500,270.000,116.500,0,0.000,1,0.000,0.000,NaN
10,0,9,9,237.000,120.000,237.000,120.000,0,0.000,1,0.000,0.000,NaN
11,0,38,38,171.000,128.000,171.000,128.000,0,0.000,1,0.000,0.000,NaN
12,0,50,50,135.500,126.500,135.500,126.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,58.000,112.500,58.000,112.500,0,0.000,1,0.000,0.000,NaN
14,0,50,50,54.000,117.500,54.000,117.500,0,0.000,1,0.000,0.000,NaN
