 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,11,11,39.000,197.500,39.000,197.500,0,0.000,1,0.000,0.000,NaN
2,0,11,11,264.500,162.500,264.500,162.500,0,0.000,1,0.000,0.000,NaN
3,0,5,5,303.000,133.500,303.000,133.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,296.000,167.000,296.000,167.000,0,0.000,1,0.000,0.000,NaN
5,0,11,11,483.500,183.500,483.500,183.500,0,0.000,1,0.000,0.000,NaN
6,0,3,3,598.000,148.500,598.000,148.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,486.000,212.000,486.000,212.000,0,0.000,1,0.000,0.000,NaN
8,0,12,12,453.000,200.500,453.000,200.500,0,0.000,1,0.000,0.000,NaN
9,0,2,2,259.000,199.000,259.000,199.000,0,0.000,1,0.000,0.000,NaN
10,0,8,8,221.500,200.500,221.500,200.500,0,0.000,1,0.000,0.000,NaN
11,0,15,15,162.000,200.500,162.000,200.500,0,0.000,1,0.000,0.000,NaN
12,0,0,0,132.000,200.500,132.000,200.500,0,0.000,1,0.000,0.000,NaN
13,0,1,1,66.000,201.000,66.000,201.000,0,0.000,1,0.000,0.000,NaN
14,0,6,6,59.500,203.000,59.500,203.000,0,0.000,1,0.000,0.000,NaN
