 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,13.500,157.000,13.500,157.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,190.500,120.500,190.500,120.500,0,0.000,1,0.000,0.000,NaN
3,0,11,11,248.500,75.500,248.500,75.500,0,0.000,1,0.000,0.000,NaN
4,0,11,11,245.000,122.000,245.000,122.000,0,0.000,1,0.000,0.000,NaN
5,0,8,8,487.000,145.500,487.000,145.500,0,0.000,1,0.000,0.000,NaN
6,0,14,14,622.000,121.000,622.000,121.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,538.000,190.000,538.000,190.000,0,0.000,1,0.000,0.000,NaN
8,0,11,11,485.500,161.500,485.500,161.500,0,0.000,1,0.000,0.000,NaN
9,0,7,7,328.500,176.500,328.500,176.500,0,0.000,1,0.000,0.000,NaN
10,0,10,10,294.500,181.500,294.500,181.500,0,0.000,1,0.000,0.000,NaN
11,0,7,7,174.500,178.500,174.500,178.500,0,0.000,1,0.000,0.000,NaN
12,0,13,13,143.500,179.000,143.500,179.000,0,0.000,1,0.000,0.000,NaN
13,0,1,1,84.000,173.000,84.000,173.000,0,0.000,1,0.000,0.000,NaN
14,0,2,2,58.500,172.500,58.500,172.500,0,0.000,1,0.000,0.000,NaN
