 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,51.000,186.000,51.000,186.000,0,0.000,1,0.000,0.000,NaN
2,0,14,14,260.167,156.833,260.167,156.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,314.167,124.833,314.167,124.833,0,0.000,1,0.000,0.000,NaN
4,0,14,14,304.833,161.500,304.833,161.500,0,0.000,1,0.000,0.000,NaN
5,0,5,5,474.833,164.833,474.833,164.833,0,0.000,1,0.000,0.000,NaN
6,0,2,2,600.167,161.500,600.167,161.500,0,0.000,1,0.000,0.000,NaN
7,0,5,5,486.833,194.833,486.833,194.833,0,0.000,1,0.000,0.000,NaN
8,0,9,9,447.500,187.500,447.500,187.500,0,0.000,1,0.000,0.000,NaN
9,0,2,2,268.833,195.500,268.833,195.500,0,0.000,1,0.000,0.000,NaN
10,0,8,8,235.500,200.167,235.500,200.167,0,0.000,1,0.000,0.000,NaN
11,0,14,14,163.500,200.833,163.500,200.833,0,0.000,1,0.000,0.000,NaN
12,0,4,4,142.167,204.167,142.167,204.167,0,0.000,1,0.000,0.000,NaN
13,0,15,15,62.500,194.167,62.500,194.167,0,0.000,1,0.000,0.000,NaN
14,0,14,14,59.500,196.167,59.500,196.167,0,0.000,1,0.000,0.000,NaN
