 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,26.000,98.000,26.000,98.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,218.833,72.833,218.833,72.833,0,0.000,1,0.000,0.000,NaN
3,0,0,0,282.833,40.167,282.833,40.167,0,0.000,1,0.000,0.000,NaN
4,0,4,4,275.500,79.500,275.500,79.500,0,0.000,1,0.000,0.000,NaN
5,0,11,11,442.833,86.167,442.833,86.167,0,0.000,1,0.000,0.000,NaN
6,0,13,13,605.500,66.167,605.500,66.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,470.167,116.167,470.167,116.167,0,0.000,1,0.000,0.000,NaN
8,0,8,8,427.500,108.167,427.500,108.167,0,0.000,1,0.000,0.000,NaN
9,0,14,14,232.167,115.500,232.167,115.500,0,0.000,1,0.000,0.000,NaN
10,0,0,0,205.500,124.833,205.500,124.833,0,0.000,1,0.000,0.000,NaN
11,0,15,15,144.167,122.167,144.167,122.167,0,0.000,1,0.000,0.000,NaN
12,0,13,13,115.500,119.500,115.500,119.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,49.000,106.667,49.000,106.667,0,0.000,1,0.000,0.000,NaN
14,0,13,13,50.333,111.167,50.333,111.167,0,0.000,1,0.000,0.000,NaN
