 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,2,2,37.000,191.500,37.000,191.500,0,0.000,1,0.000,0.000,NaN
2,0,7,7,228.000,143.000,228.000,143.000,0,0.000,1,0.000,0.000,NaN
3,0,5,5,286.500,90.500,286.500,90.500,0,0.000,1,0.000,0.000,NaN
4,0,10,10,278.000,147.000,278.000,147.000,0,0.000,1,0.000,0.000,NaN
5,0,10,10,519.500,184.000,519.500,184.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,605.500,115.500,605.500,115.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,580.000,214.500,580.000,214.500,0,0.000,1,0.000,0.000,NaN
8,0,15,15,518.500,204.000,518.500,204.000,0,0.000,1,0.000,0.000,NaN
9,0,4,4,401.000,204.500,401.000,204.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,370.000,222.000,370.000,222.000,0,0.000,1,0.000,0.000,NaN
11,0,10,10,190.000,226.500,190.000,226.500,0,0.000,1,0.000,0.000,NaN
12,0,0,0,150.000,211.000,150.000,211.000,0,0.000,1,0.000,0.000,NaN
13,0,1,1,85.500,204.000,85.500,204.000,0,0.000,1,0.000,0.000,NaN
14,0,14,14,69.000,209.000,69.000,209.000,0,0.000,1,0.000,0.000,NaN
