 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,4,4,29.000,207.000,29.000,207.000,0,0.000,1,0.000,0.000,NaN
2,0,11,11,234.833,172.167,234.833,172.167,0,0.000,1,0.000,0.000,NaN
3,0,15,15,280.167,156.167,280.167,156.167,0,0.000,1,0.000,0.000,NaN
4,0,13,13,266.167,175.500,266.167,175.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,491.500,192.167,491.500,192.167,0,0.000,1,0.000,0.000,NaN
6,0,11,11,614.167,148.167,614.167,148.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,527.500,241.500,527.500,241.500,0,0.000,1,0.000,0.000,NaN
8,0,3,3,478.167,214.167,478.167,214.167,0,0.000,1,0.000,0.000,NaN
9,0,11,11,417.500,218.167,417.500,218.167,0,0.000,1,0.000,0.000,NaN
10,0,3,3,368.167,228.833,368.167,228.833,0,0.000,1,0.000,0.000,NaN
11,0,15,15,176.833,225.500,176.833,225.500,0,0.000,1,0.000,0.000,NaN
12,0,1,1,146.167,222.833,146.167,222.833,0,0.000,1,0.000,0.000,NaN
13,0,6,6,78.167,222.167,78.167,222.167,0,0.000,1,0.000,0.000,NaN
14,0,1,1,60.833,223.500,60.833,223.500,0,0.000,1,0.000,0.000,NaN
