 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,8,8,40.000,196.000,40.000,196.000,0,0.000,1,0.000,0.000,NaN
2,0,7,7,264.833,156.167,264.833,156.167,0,0.000,1,0.000,0.000,NaN
3,0,1,1,336.833,155.500,336.833,155.500,0,0.000,1,0.000,0.000,NaN
4,0,7,7,325.500,135.500,325.500,135.500,0,0.000,1,0.000,0.000,NaN
5,0,8,8,506.833,188.167,506.833,188.167,0,0.000,1,0.000,0.000,NaN
6,0,3,3,598.833,162.167,598.833,162.167,0,0.000,1,0.000,0.000,NaN
7,0,3,3,532.167,224.833,532.167,224.833,0,0.000,1,0.000,0.000,NaN
8,0,12,12,480.167,208.167,480.167,208.167,0,0.000,1,0.000,0.000,NaN
9,0,15,15,420.167,208.167,420.167,208.167,0,0.000,1,0.000,0.000,NaN
10,0,4,4,393.500,206.167,393.500,206.167,0,0.000,1,0.000,0.000,NaN
11,0,11,11,202.833,206.167,202.833,206.167,0,0.000,1,0.000,0.000,NaN
12,0,15,15,179.500,202.167,179.500,202.167,0,0.000,1,0.000,0.000,NaN
13,0,14,14,128.833,203.500,128.833,203.500,0,0.000,1,0.000,0.000,NaN
14,0,14,14,116.833,208.833,116.833,208.833,0,0.000,1,0.000,0.000,NaN
