 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,5,5,40.000,193.000,40.000,193.000,0,0.000,1,0.000,0.000,NaN
2,0,2,2,216.167,152.833,216.167,152.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,298.833,121.500,298.833,121.500,0,0.000,1,0.000,0.000,NaN
4,0,14,14,313.500,152.167,313.500,152.167,0,0.000,1,0.000,0.000,NaN
5,0,13,13,505.500,180.833,505.500,180.833,0,0.000,1,0.000,0.000,NaN
6,0,0,0,603.500,162.167,603.500,162.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,550.167,216.833,550.167,216.833,0,0.000,1,0.000,0.000,NaN
8,0,15,15,490.167,204.167,490.167,204.167,0,0.000,1,0.000,0.000,NaN
9,0,15,15,407.500,207.500,407.500,207.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,382.167,219.500,382.167,219.500,0,0.000,1,0.000,0.000,NaN
11,0,0,0,217.500,183.500,217.500,183.500,0,0.000,1,0.000,0.000,NaN
12,0,7,7,186.833,195.500,186.833,195.500,0,0.000,1,0.000,0.000,NaN
13,0,15,15,144.167,196.833,144.167,196.833,0,0.000,1,0.000,0.000,NaN
14,0,7,7,124.167,206.167,124.167,206.167,0,0.000,1,0.000,0.000,NaN
