 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,1,1,39.000,193.000,39.000,193.000,0,0.000,1,0.000,0.000,NaN
2,0,9,9,367.500,163.000,367.500,163.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,413.500,151.000,413.500,151.000,0,0.000,1,0.000,0.000,NaN
4,0,4,4,403.500,174.500,403.500,174.500,0,0.000,1,0.000,0.000,NaN
5,0,13,13,473.000,191.000,473.000,191.000,0,0.000,1,0.000,0.000,NaN
6,0,15,15,607.000,160.000,607.000,160.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,520.500,253.000,520.500,253.000,0,0.000,1,0.000,0.000,NaN
8,0,2,2,459.000,228.500,459.000,228.500,0,0.000,1,0.000,0.000,NaN
9,0,6,6,418.000,227.000,418.000,227.000,0,0.000,1,0.000,0.000,NaN
10,0,13,13,347.500,233.000,347.500,233.000,0,0.000,1,0.000,0.000,NaN
11,0,10,10,225.000,240.500,225.000,240.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,186.500,236.500,186.500,236.500,0,0.000,1,0.000,0.000,NaN
13,0,6,6,104.500,219.500,104.500,219.500,0,0.000,1,0.000,0.000,NaN
14,0,7,7,81.500,221.000,81.500,221.000,0,0.000,1,0.000,0.000,NaN
