 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,6,6,38.500,180.500,38.500,180.500,0,0.000,1,0.000,0.000,NaN
2,0,15,15,211.500,155.000,211.500,155.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,249.500,139.500,249.500,139.500,0,0.000,1,0.000,0.000,NaN
4,0,8,8,234.000,157.000,234.000,157.000,0,0.000,1,0.000,0.000,NaN
5,0,15,15,465.500,175.500,465.500,175.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,596.500,169.000,596.500,169.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,504.000,210.000,504.000,210.000,0,0.000,1,0.000,0.000,NaN
8,0,0,0,448.000,189.000,448.000,189.000,0,0.000,1,0.000,0.000,NaN
9,0,10,10,328.000,196.500,328.000,196.500,0,0.000,1,0.000,0.000,NaN
10,0,14,14,296.000,201.500,296.000,201.500,0,0.000,1,0.000,0.000,NaN
11,0,13,13,189.500,188.500,189.500,188.500,0,0.000,1,0.000,0.000,NaN
12,0,15,15,162.500,184.500,162.500,184.500,0,0.000,1,0.000,0.000,NaN
13,0,3,3,117.000,189.500,117.000,189.500,0,0.000,1,0.000,0.000,NaN
14,0,13,13,94.000,198.000,94.000,198.000,0,0.000,1,0.000,0.000,NaN
