 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,13,13,43.000,197.000,43.000,197.000,0,0.000,1,0.000,0.000,NaN
2,0,13,13,230.000,162.500,230.000,162.500,0,0.000,1,0.000,0.000,NaN
3,0,8,8,267.000,150.500,267.000,150.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,258.000,165.000,258.000,165.000,0,0.000,1,0.000,0.000,NaN
5,0,13,13,486.500,190.500,486.500,190.500,0,0.000,1,0.000,0.000,NaN
6,0,6,6,599.000,177.000,599.000,177.000,0,0.000,1,0.000,0.000,NaN
7,0,2,2,534.000,227.000,534.000,227.000,0,0.000,1,0.000,0.000,NaN
8,0,14,14,473.500,208.000,473.500,208.000,0,0.000,1,0.000,0.000,NaN
9,0,15,15,374.000,214.500,374.000,214.500,0,0.000,1,0.000,0.000,NaN
10,0,15,15,332.500,220.000,332.500,220.000,0,0.000,1,0.000,0.000,NaN
11,0,4,4,200.000,208.500,200.000,208.500,0,0.000,1,0.000,0.000,NaN
12,0,4,4,173.000,203.000,173.000,203.000,0,0.000,1,0.000,0.000,NaN
13,0,15,15,124.500,209.500,124.500,209.500,0,0.000,1,0.000,0.000,NaN
14,0,14,14,104.000,223.000,104.000,223.000,0,0.000,1,0.000,0.000,NaN
