 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,11,11,21.000,99.000,21.000,99.000,0,0.000,1,0.000,0.000,NaN
2,0,0,0,220.000,68.000,220.000,68.000,0,0.000,1,0.000,0.000,NaN
3,0,15,15,255.500,52.500,255.500,52.500,0,0.000,1,0.000,0.000,NaN
4,0,0,0,247.000,68.000,247.000,68.000,0,0.000,1,0.000,0.000,NaN
5,0,3,3,501.000,97.500,501.000,97.500,0,0.000,1,0.000,0.000,NaN
6,0,15,15,613.500,78.500,613.500,78.500,0,0.000,1,0.000,0.000,NaN
7,0,15,15,535.000,133.000,535.000,133.000,0,0.000,1,0.000,0.000,NaN
8,0,15,15,489.000,113.500,489.000,113.500,0,0.000,1,0.000,0.000,NaN
9,0,3,3,365.000,112.500,365.000,112.500,0,0.000,1,0.000,0.000,NaN
10,0,4,4,333.000,116.500,333.000,116.500,0,0.000,1,0.000,0.000,NaN
11,0,4,4,178.000,112.000,178.000,112.000,0,0.000,1,0.000,0.000,NaN
12,0,8,8,166.000,116.500,166.000,116.500,0,0.000,1,0.000,0.000,NaN
13,0,0,0,95.500,109.500,95.500,109.500,0,0.000,1,0.000,0.000,NaN
14,0,15,15,75.500,116.500,75.500,116.500,0,0.000,1,0.000,0.000,NaN
