 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,7,7,45.500,192.000,45.500,192.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,229.000,161.000,229.000,161.000,0,0.000,1,0.000,0.000,NaN
3,0,2,2,296.000,135.000,296.000,135.000,0,0.000,1,0.000,0.000,NaN
4,0,11,11,286.000,161.500,286.000,161.500,0,0.000,1,0.000,0.000,NaN
5,0,1,1,478.000,192.500,478.000,192.500,0,0.000,1,0.000,0.000,NaN
6,0,9,9,604.000,157.000,604.000,157.000,0,0.000,1,0.000,0.000,NaN
7,0,15,15,527.000,220.000,527.000,220.000,0,0.000,1,0.000,0.000,NaN
8,0,15,15,463.000,210.500,463.000,210.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,358.000,214.500,358.000,214.500,0,0.000,1,0.000,0.000,NaN
10,0,1,1,315.000,220.500,315.000,220.500,0,0.000,1,0.000,0.000,NaN
11,0,0,0,208.000,217.500,208.000,217.500,0,0.000,1,0.000,0.000,NaN
12,0,12,12,175.000,210.000,175.000,210.000,0,0.000,1,0.000,0.000,NaN
13,0,10,10,114.500,202.000,114.500,202.000,0,0.000,1,0.000,0.000,NaN
14,0,15,15,101.000,211.000,101.000,211.000,0,0.000,1,0.000,0.000,NaN
