 ,Area,Mean,Mode,X,Y,XM,YM,Perim.,Circ.,Slice,AR,Round,Solidity
1,0,15,15,39.000,166.000,39.000,166.000,0,0.000,1,0.000,0.000,NaN
2,0,15,15,240.167,128.833,240.167,128.833,0,0.000,1,0.000,0.000,NaN
3,0,15,15,286.167,112.833,286.167,112.833,0,0.000,1,0.000,0.000,NaN
4,0,8,8,278.833,131.500,278.833,131.500,0,0.000,1,0.000,0.000,NaN
5,0,15,15,482.167,167.500,482.167,167.500,0,0.000,1,0.000,0.000,NaN
6,0,9,9,598.833,130.167,598.833,130.167,0,0.000,1,0.000,0.000,NaN
7,0,15,15,524.833,208.833,524.833,208.833,0,0.000,1,0.000,0.000,NaN
8,0,10,10,464.833,181.500,464.833,181.500,0,0.000,1,0.000,0.000,NaN
9,0,15,15,387.500,198.167,387.500,198.167,0,0.000,1,0.000,0.000,NaN
10,0,0,0,341.500,208.833,341.500,208.833,0,0.000,1,0.000,0.000,NaN
11,0,15,15,187.500,194.167,187.500,194.167,0,0.000,1,0.000,0.000,NaN
12,0,1,1,158.833,188.167,158.833,188.167,0,0.000,1,0.000,0.000,NaN
13,0,3,3,112.833,187.500,112.833,187.500,0,0.000,1,0.000,0.000,NaN
14,0,8,8,92.833,194.167,92.833,194.167,0,0.000,1,0.000,0.000,NaN
